Location,Scenario,Contextual_Similarity
Moon Base,Falling Asleep During a Meeting,0.7303
Medieval Castle,Wearing a tuxedo to a pool party,0.7303
Principal's Office,Kissing your boss on the cheek by accident,0.7303
Nursing Home,Walking out of a restaurant without paying and returning out of guilt,0.7303
Volcano,Wearing a tuxedo to a pool party,0.7303
Military Helicopter,Negotiating a hostage situation with coupons,0.7303
Desert,Eating a stranger's leftovers at a restaurant,0.7303
Parade,Getting caught hoarding all the free samples at the bakery,0.7303
Abandoned Mine,Dropping the birthday cake right before singing,0.7303
Waiting Room,Explaining why you are wearing sunglasses indoors at night,0.7303
Airport,Forgetting a date's name mid-sentence,0.7303
Cruise Ship,Getting your tongue stuck to a frozen pole,0.7303
Courthouse,Corporate Team-Building Exercise Gone Rogue,0.7303
Fire Station,Overfeeding someone else's fish until they explode,0.7303
Military Helicopter,Throwing out someone else's winning lottery ticket,0.7303
Gymnasium,"Calling your teacher ""Mom"" during a college lecture",0.7303
Wedding Reception,Explaining why your mom is secretly listening in on the date,0.7303
Fishing Boat,Bringing a live turkey to Thanksgiving dinner,0.7303
Swamp,Interrupting a moment of silence with a loud ringtone,0.7303
Diner,Stealing the microphone at a karaoke bar,0.7303
Small Town Street,Amateur Ghost Hunting,0.7303
Run-Down Apartment,Stealing the microphone at a karaoke bar,0.7303
House Party,Escape Room Disaster,0.7303
Mountain,Getting your tongue stuck to a frozen pole,0.7303
Pub,Trying to assemble IKEA furniture without the instructions,0.7303
Mansion,Trying to hide the fact that you live in your car during a date,0.7303
Community Center,Witnessing a bank robbery and asking for an autograph,0.7303
Workshop,Murder Mystery Dinner,0.7303
Pond,Office Holiday Party,0.7303
Courthouse,Demanding to speak to the manager of the ocean,0.7303
Courthouse,Awkwardly trying to un-hug someone who was just reaching for their coat,0.7303
Barbershop,Trying to use a Jedi mind trick on a stubborn bouncer,0.7303
Tool Shed,Discovering a secret room behind a bookcase,0.7303
Cruise Ship,Throwing a Drink in Someone's Face,0.7303
Bowling Alley,Arriving at a potluck empty-handed,0.7303
Rainforest,Eating the last slice of pizza after someone else already claimed it,0.7303
Grocery Store,Getting your tongue stuck to a frozen pole,0.7303
Caravan,Spilling red wine on a white carpet,0.7303
Clock Tower,Forgetting to wear pants to a Zoom meeting and standing up,0.7303
Bus Station,Knocking over a domino world record attempt,0.7303
University Quad,Emergency Evacuation,0.7303
Rainforest,Mistaking superglue for eye drops,0.7303
Lake,Refusing to leave a store that is actively burning down,0.7303
Beach,Using the wrong language on a translation app,0.7303
Car Accident Site,Attempting to negotiate a peace treaty between two rival book clubs,0.7303
Jungle,Forgetting the name of your best friend's child,0.7303
Cruise Ship,Losing the winning lottery ticket in the trash,0.7303
Bar,Trying to hide a dead body in a shallow grave,0.7303
Deli,Performing an Exorcism,0.7303
Small Town Street,Explaining to your landlord why there is a horse in your apartment,0.7303
Teacher's Lounge,Faking expertise in a high-level technical meeting,0.7303
Secret Passageway,Camping Trip Where Everything Goes Wrong,0.7303
Hotel Room,Witnessing a bank robbery and asking for an autograph,0.7303
Nursing Home,Having a public meltdown because they discontinued your favorite snack,0.7303
Bank,Eating the last slice of pizza after someone else already claimed it,0.7303
Park,Trying to start a slow clap in an empty room,0.7303
Principal's Office,Getting caught building a doomsday device in the garage,0.7303
Office Cubicle,Getting arrested for stealing a traffic cone,0.7303
Secret Laboratory,Planning a Prison Escape,0.7303
Community Center,Getting caught building a doomsday device in the garage,0.7303
Bus Station,Getting trapped in a porta-potty,0.7303
Small Town,High-Stakes Poker Game,0.7303
Community Center,Planning a Bank Heist,0.7303
Run-Down Apartment,Refusing to share an umbrella in a hurricane,0.7303
Wedding Reception,Explaining to your landlord why there is a horse in your apartment,0.7303
Wine Cellar,Navigating a foreign city with a broken map and no language skills,0.7303
Big City Street,Ruining a child's birthday party with an inappropriate magic trick,0.7303
Haunted House,Forgetting to wear pants to a Zoom meeting and standing up,0.7303
Indoor Shooting Range,Solving a Murder,0.7303
Car Accident Site,Ignoring a very obvious fire alarm,0.7303
Ambulance,Accidentally breaking a priceless heirloom and blaming the dog,0.7303
Mansion,Refusing to share an umbrella in a hurricane,0.7303
City,Inheriting a cursed amulet from a distant relative,0.7303
Farm,Discovering a secret room behind a bookcase,0.7303
Ice Cream Parlor,Accidentally hitting a pedestrian with a golf cart,0.7303
Farmer's Market,Bribing a health inspector with stale cookies,0.7303
Ranch,Getting caught putting a fake bug in your soup for a free meal,0.7303
Greenhouse,Trying to unionize the office while the CEO is in the room,0.7303
Laboratory,Discovering a Spouse's Secret,0.7303
Dragon's Lair,Escape Room Disaster,0.7303
Arcade,After-Party That Won't End,0.7303
Diner,Accidental Reply-All Disaster,0.7303
Upscale Hotel Lobby,Waving back at someone who wasn't waving at you,0.7303
Upscale Hotel Lobby,Trying to build a time machine out of garbage,0.7303
Egyptian Pyramids,Trying to pass off a fake painting to an art appraiser,0.7303
Golf Course,Negotiating a Ransom,0.7303
Parking Lot,Accidentally giving a five-star review to a terrible restaurant,0.7303
Military Base,Dropping your phone in the toilet while on a video call,0.7303
Ocean,Realizing you booked the wrong flight on the wrong continent,0.7303
Police Station,Going to a costume party a week early,0.7303
Swamp,Trying to convince the group you aren't horribly seasick,0.7303
Carnival,Ruining a silent retreat by having hiccups,0.7303
Barbershop,Planning a Bank Heist,0.7303
Hunting Cabin,Not knowing how to use a manual can opener,0.7303
Brewery,Discovering a secret room behind a bookcase,0.7303
Subway Train,Trying to return a half-eaten meal claiming it was poisoned,0.7303
Countryside,Attempting to resurrect a dead houseplant with dark magic,0.7303
Black-Tie Event,Trying to fix a leaky pipe with duct tape,0.7303
Morgue,Being trapped in a sleeping bag during a bear attack,0.7303
Ice Cream Parlor,Cheating at a Board Game,0.7303
Bridge,Accidentally breaking a priceless heirloom and blaming the dog,0.7303
Church,Overfeeding someone else's fish until they explode,0.7303
Prison Cell,Starting a Cult,0.7303
Ballroom,Faking an injury to get out of helping a friend move,0.7303
Police Car,Initiating a slow clap that nobody joins,0.7303
Casino,Bomb Defusal Under Pressure,0.7303
Executive's Office,Discovering a Conspiracy,0.7303
Boarding School,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.7303
Nightclub,Trying to catch a fly with chopsticks,0.7303
Pub,Negotiating a ride hitchhiking with a very strange driver,0.7303
Upscale Hotel Lobby,Trying to hide a dead body in a shallow grave,0.7303
Parade,Trying to assemble IKEA furniture without the instructions,0.7303
Flower Shop,Accidentally destroying a child's sandcastle masterpiece,0.7303
Factory,Cult Initiation Ceremony,0.7303
Lake,Trying to explain why you lost the group vacation fund,0.7303
Church,Wearing a tuxedo to a pool party,0.7303
Post-Apocalyptic World,Getting Locked Out,0.7303
Taxi,Swearing in front of a group of nuns,0.7303
Race Track (Horses),House Party That Got Out of Hand,0.7303
Parking Lot,Getting trapped in a porta-potty,0.7303
Elementary School Classroom,Arguing with a toddler about tax policy,0.7303
Water Park,Walking out of a restaurant without paying and returning out of guilt,0.7303
Trailer Park,Trying to parallel park a tank,0.7303
Junkyard,Performing an Exorcism,0.7303
Ice Cave,Explaining to a cop why you are driving a stolen ice cream truck,0.7303
Race Track (Horses),Trying to invent a new color,0.7303
Coral Reef,Destroying a child's belief in Santa Claus,0.7303
Subway Tunnel,Agreeing to help a ghost move on,0.7303
Living Room,Playing Matchmaker Gone Wrong,0.7303
Canal,Buying a supposedly haunted car that just plays bad 80s music,0.7303
Skate Park,Getting Stood Up,0.7303
Movie Theater,Initiating a slow clap that nobody joins,0.7303
Golf Course,Running from the Cops,0.7303
Park,Accidentally donating your roommate's favorite clothes,0.7303
Hospital Room,Catching the Bouquet (and Regretting It),0.7303
Prison,Trying to land a commercial airplane with no flight experience,0.7303
Yacht,Disastrous First Date,0.7303
Arctic Tundra,First Day at a New Job,0.7303
Pub,Getting caught hoarding all the free samples at the bakery,0.7303
Museum,Lying about knowing martial arts to intimidate a mugger,0.7302
Village,Refusing to share an umbrella in a hurricane,0.7302
Mansion,Complaining About the Boss to the Boss,0.7302
Car Accident Site,Faking a panic attack to get out of an escape room,0.7302
Coastal Cliffs,Taking a bite out of a decorative wax apple,0.7302
Black-Tie Event,Getting Locked Out,0.7302
Military Base,Accidentally hitting 'Reply All' with a spicy meme,0.7302
Prison,Saving a drowning person who didn't want to be saved,0.7302
Train Station,Trying to fix a leaky pipe with duct tape,0.7302
Bridge,Rehearsing an apology but delivering an insult,0.7302
Mechanic's Shop,Witnessing a bank robbery and asking for an autograph,0.7302
City,Accidentally eating the office fridge thief's poisoned bait,0.7302
Submarine,Trying to smuggle a koala onto a plane,0.7302
Rooftop,Ruining a child's birthday party with an inappropriate magic trick,0.7302
Sewers,Losing the winning lottery ticket in the trash,0.7302
City,Accidentally muting the CEO during a company-wide call,0.7302
Movie Theater,Bringing a live turkey to Thanksgiving dinner,0.7302
Train Station,Explaining to the vet why the dog is green,0.7302
White House,Staging an Intervention,0.7302
Market,Trying to escape a maze,0.7302
Online,Escape Room Disaster,0.7302
Camp,Lying about being able to speak French in Paris,0.7302
Courtroom,Refusing to break character during a casual Friday,0.7302
House Fire,Causing a Public Scene,0.7302
Ice Cream Parlor,Getting Locked Out,0.7302
Pond,Falling Asleep During a Meeting,0.7302
Gas Station,Laundering money through a lemonade stand,0.7302
Creek,Negotiating a ride hitchhiking with a very strange driver,0.7302
Deli,Calling a partner by the wrong name during an argument,0.7302
Science Lab,Swimming in a public fountain,0.7302
Ranch,Eating the last slice of pizza after someone else already claimed it,0.7302
Sewers,Giving Terrible Directions,0.7302
Rooftop,Flirting with the Boss,0.7302
Prom,Backing out of a promise to donate a kidney,0.7302
Shopping Mall,Proposing in Public (and Getting Rejected),0.7302
Taxi Cab,Selling fake concert tickets,0.7302
Ranch,High-Stakes Poker Game,0.7302
Therapist's Office,Overhearing Someone Talk Trash About You,0.7302
Vet Clinic,Arriving at a potluck empty-handed,0.7302
Green Room,Performing an Exorcism,0.7302
Small Town Street,Throwing out someone else's winning lottery ticket,0.7302
Subway Train,Selling fake concert tickets,0.7302
Dorm Room,Causing a Public Scene,0.7302
Water Park,Explaining to border control why your suitcase is full of rocks,0.7302
Dojo,Ruining a silent retreat by having hiccups,0.7302
Tank,Insisting that birds aren't real at a bird-watching convention,0.7302
County Fair,Throwing out someone else's winning lottery ticket,0.7302
Market,Not knowing how to use a manual can opener,0.7302
Elevator,Getting amnesia and assuming you are a secret agent,0.7302
Penthouse Suite,Suing a restaurant because the food was too spicy,0.7302
Truck Stop,Biting into a fake apple at an open house,0.7302
Skate Park,Explaining to your landlord why there is a horse in your apartment,0.7302
Dojo,Accidentally destroying a child's sandcastle masterpiece,0.7302
Medieval Castle,Trying to start a slow clap in an empty room,0.7302
Village,Having a public meltdown because they discontinued your favorite snack,0.7302
Submarine,Defending Earth from aliens using only household appliances,0.7302
Factory,"Taping a ""kick me"" sign to your own back",0.7302
Liquor Store,Performing an Exorcism,0.7302
Ocean,Trying to barter with a toll booth operator,0.7302
Zoo,Eavesdropping on a conversation and chiming in with unwanted advice,0.7302
Community Center,Escaping a boring date through the bathroom window,0.7302
University Quad,Destroying a child's belief in Santa Claus,0.7302
Rock Concert,Trying to pass off a fake painting to an art appraiser,0.7302
Yacht,Faking expertise in a high-level technical meeting,0.7302
Shopping Mall,Faking a panic attack to get out of an escape room,0.7302
Harbor,Trying to return a half-eaten meal claiming it was poisoned,0.7302
Laundromat,Getting Lost Without a Map,0.7302
Swamp,Telling a crying child that life isn't fair,0.7302
Yacht,Cult Initiation Ceremony,0.7302
Elementary School Classroom,Trying to bargain at a corporate chain store,0.7302
Pub,Destroying a luxury hotel room by accident,0.7302
Casual Dining Restaurant,Navigating a foreign city with a broken map and no language skills,0.7302
Ancient Ruins,Taking a bite out of a decorative wax apple,0.7302
Yacht Party,Buying a Ridiculously Expensive Round of Drinks,0.7302
Gymnasium,Attempting to perform open-heart surgery using a YouTube tutorial,0.7302
Observatory,Explaining to border control why your suitcase is full of rocks,0.7302
Office Cubicle,Being trapped in a sleeping bag during a bear attack,0.7302
Lighthouse,Attempting to steal the Declaration of Independence,0.7302
Bus Station,Giving Terrible Directions,0.7302
Ambulance,Solving a Murder,0.7302
Quarry,Walking in on a crime scene,0.7302
Underwater City,Having a shouting match with a parrot,0.7302
Kitchen,Mistaking superglue for eye drops,0.7302
House Party,Attempting to steal the Declaration of Independence,0.7302
Volcano,Trying to survive in the wilderness with only a spork,0.7302
Green Room,Discovering your roommate is a werewolf,0.7302
Orchard,First Day at a New Job,0.7302
Jungle,Double Date Drama,0.7302
Psychiatric Ward,Trying to return a half-eaten sandwich,0.7302
Garden,Sneezing during a bank robbery,0.7302
College Campus,Using a fake ID that says you are 85 years old,0.7302
Desert,Throwing a Drink in Someone's Face,0.7302
Black-Tie Event,Solving a Murder,0.7302
Living Room,Auditioning for a musical when you are tone-deaf,0.7302
Greenhouse,Getting caught trying to smuggle a dinosaur egg,0.7302
Amusement Park,Forgetting the name of your best friend's child,0.7302
Science Lab,Purchasing a haunted antique that won't stop screaming,0.7302
Movie Theater,Having a shouting match with a parrot,0.7302
Canyon,Interrupting a moment of silence with a loud ringtone,0.7302
Desert,Trying to arrest a suspect using a citizen's arrest,0.7302
Recording Studio,Accidentally destroying a child's sandcastle masterpiece,0.7302
Trailer Park,Discovering a secret room behind a bookcase,0.7302
Casino,Going to a costume party a week early,0.7302
Canal,Trying to steal a famous painting from a museum,0.7302
Executive's Office,Explaining why you are wearing sunglasses indoors at night,0.7302
Upscale Hotel Lobby,Swearing in front of a group of nuns,0.7302
Beach,Eating a stranger's leftovers at a restaurant,0.7302
University Quad,Catching the Bouquet (and Regretting It),0.7302
Virtual Reality World,Auditioning for a musical when you are tone-deaf,0.7302
Bank Vault,Cult Initiation Ceremony,0.7302
University Lecture Hall,Claiming you invented the question mark,0.7302
Pet Store,Bringing a live turkey to Thanksgiving dinner,0.7302
Military Base,Telling a crying child that life isn't fair,0.7302
Train Station,Getting trapped on a ski lift with a loud chewer,0.7302
Underwater City,Office Holiday Party,0.7302
Alien Planet,Extreme Jet Lag,0.7302
Waiting Room,Eavesdropping on a conversation and chiming in with unwanted advice,0.7302
University Quad,Pretending to be blind to get a better seat,0.7302
Outdoor Pool,Being challenged to a dance battle by a group of teenagers,0.7302
Pond,Spitting out terrible food into a napkin while the chef watches,0.7302
Fast Food Restaurant,Getting caught taking selfies at a somber historical monument,0.7302
Battlefield,"Taping a ""kick me"" sign to your own back",0.7302
Hot Springs,Tripping over nothing and acting like you meant to do it,0.7302
Small Town,Faking an injury to get out of helping a friend move,0.7302
Nightclub,Accidental Reply-All Disaster,0.7302
War Zone,Hiding a Fugitive,0.7302
Prison,Accidentally muting the CEO during a company-wide call,0.7302
Desert,Trying to explain why you lost the group vacation fund,0.7302
Kitchen,Discovering a Conspiracy,0.7302
Coral Reef,Calling a partner by the wrong name during an argument,0.7302
Barbershop,Calling a partner by the wrong name during an argument,0.7302
Canyon,Fleshing Out a Heist Plan,0.7302
Parade,Awkwardly trying to un-hug someone who was just reaching for their coat,0.7302
Workshop,Forgetting to wear pants to a Zoom meeting and standing up,0.7302
Run-Down Apartment,Going on a Spontaneous Road Trip,0.7302
Volcano,Negotiating a Ransom,0.7302
Movie Set,Offending a wizard and getting turned into a frog,0.7302
Virtual Reality World,Selling fake concert tickets,0.7302
Movie Set,Lying about being a famous author,0.7302
Nightclub,Accidentally breaking a priceless heirloom and blaming the dog,0.7302
Forest,Getting trapped in a porta-potty,0.7302
Underwater,Lads/Girls Holiday Vibe,0.7302
Upscale Hotel Lobby,Accidentally eating the office fridge thief's poisoned bait,0.7302
Barbershop,Defending Earth from aliens using only household appliances,0.7302
Deli,Escaping a boring party by crawling through a vent,0.7302
Home Office,Taking a bite out of a decorative wax apple,0.7302
Cave,Getting caught putting a fake bug in your soup for a free meal,0.7302
Arcade,Getting caught practicing a cool entrance in the mirror,0.7302
Lake,Dropping your phone in the toilet while on a video call,0.7302
College Campus,Robbing a bank with a banana,0.7302
Bridge,Faking your way through a wine tasting as a sommelier,0.7302
Pub,Entering a hot dog eating contest to impress a vegetarian,0.7302
Vet Clinic,"Taping a ""kick me"" sign to your own back",0.7302
Ranch,Walking out of a restaurant without paying and returning out of guilt,0.7302
Ballroom,Faking a proposal just to get a free dessert at a restaurant,0.7302
Parking Lot,Getting caught taking selfies at a somber historical monument,0.7302
On the phone,Faking a coma to avoid a family gathering,0.7302
Countryside,Trapped in a tent with a friend who won't stop talking,0.7302
Island,Destroying a luxury hotel room by accident,0.7302
Farmer's Market,Falling in Love at First Sight,0.7302
Fire Station,Causing a Public Scene,0.7302
Therapist's Office,Explaining why you parked in the Mayor's reserved spot,0.7302
Cruise Ship,Telling a crying child that life isn't fair,0.7302
Cave,Faking expertise in a high-level technical meeting,0.7302
Moon Base,Having a public meltdown because they discontinued your favorite snack,0.7302
Alley,Stepping on someone's foot and blaming them,0.7302
Bank,Mispronouncing a very common word on live television,0.7302
Bank Vault,Accidentally destroying a child's sandcastle masterpiece,0.7302
Fishing Village,Breaking a priceless vase at a museum and trying to glue it back,0.7302
Movie Set,Leaving Someone at the Altar,0.7302
War Zone,Negotiating a Ransom,0.7301
City,Explaining why your mom is secretly listening in on the date,0.7301
Igloo,Wearing a tuxedo to a pool party,0.7301
University Lecture Hall,Arguing that the Earth is flat just to annoy someone,0.7301
Bank Vault,Pretending to be blind to get a better seat,0.7301
Battlefield,Refusing to leave a store that is actively burning down,0.7301
Water Park,Cult Initiation Ceremony,0.7301
Camp,Complaining about the food to the chef who happens to be your date,0.7301
Office Cubicle,Hacking into the Pentagon to change your grades,0.7301
Barn,Ruining the Bride's Dress,0.7301
Medieval Village,Trapped in a revolving door with a mime,0.7301
Circus,Suing a restaurant because the food was too spicy,0.7301
Alien Planet,Getting bitten by a radioactive spider and getting terrible powers,0.7301
Bus Station,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.7301
Coral Reef,Corporate Team-Building Exercise Gone Rogue,0.7301
Snowy Mountain Peak,Murder Mystery Dinner,0.7301
Ancient Ruins,Attempting to resurrect a dead houseplant with dark magic,0.7301
Yacht,Causing a Public Scene,0.7301
Farmer's Market,Walking in on a crime scene,0.7301
Office Cubicle,Kissing your boss on the cheek by accident,0.7301
Bridge,Hiding a Fugitive,0.7301
Living Room,Throwing a Drink in Someone's Face,0.7301
Arcade,Sneezing during a bank robbery,0.7301
Used Car Dealership,Planning a Prison Escape,0.7301
Prison Cell,Accidental Reply-All Disaster,0.7301
Bank Vault,Getting caught trying to smuggle a dinosaur egg,0.7301
Rock Concert,Attempting to smuggle a wheel of cheese through airport security,0.7301
Nightclub,Explaining why you parked in the Mayor's reserved spot,0.7301
Spaceship,Waving back at someone who wasn't waving at you,0.7301
Bus Station,Stepping on someone's foot and blaming them,0.7301
Diner,Swearing in front of a group of nuns,0.7301
Military Helicopter,Explaining why you brought a sword to a job interview,0.7301
Ice Cream Parlor,Trying to escape a maze,0.7301
Prom,Trying to convince everyone the party isn't dead at 4 AM,0.7301
Dystopian World,Trapped in a revolving door with a mime,0.7301
Factory,Trying to pay for a meal by washing dishes,0.7301
Water Park,Getting caught practicing a cool entrance in the mirror,0.7301
Maze,Apologizing to a mannequin after bumping into it,0.7301
Bridge,Getting caught building a doomsday device in the garage,0.7301
Principal's Office,Forgetting the name of your best friend's child,0.7301
Graveyard,Sneezing during a bank robbery,0.7301
Tropical Resort,Going on a Spontaneous Road Trip,0.7301
Upscale Hotel Lobby,Forgetting a date's name mid-sentence,0.7301
Science Lab,Amateur Ghost Hunting,0.7301
Airplane,Losing a fight to a goose,0.7301
Courthouse,Agreeing to help a ghost move on,0.7301
Backyard,Getting Caught Talking to Yourself,0.7301
Military Helicopter,Pretending to be a psychic to scam tourists,0.7301
Moon Base,Calling a partner by the wrong name during an argument,0.7301
Online,Explaining why you are walking a cat on a leash in a mall,0.7301
Waiting Room,Muddy Festival Camping,0.7301
Urban Rooftop,Cleaning Up After a Massive Party,0.7301
University Lecture Hall,Getting caught building a doomsday device in the garage,0.7301
Junkyard,Explaining to border control why your suitcase is full of rocks,0.7301
Black-Tie Event,Attempting to communicate with aliens via interpretive dance,0.7301
County Fair,Losing the winning lottery ticket in the trash,0.7301
Bar,Attempting to negotiate a peace treaty between two rival book clubs,0.7301
Lighthouse,Defending your decision to live in a treehouse,0.7301
Bank,Attempting to smuggle a wheel of cheese through airport security,0.7301
Rainforest,Explaining to your landlord why there is a horse in your apartment,0.7301
Rooftop,Trying to convince a superhero you aren't a supervillain,0.7301
Fire Station,Lying about being able to speak French in Paris,0.7301
Mall,Accidentally hitting 'Reply All' with a spicy meme,0.7301
Golf Course,Getting caught practicing a cool entrance in the mirror,0.7301
Principal's Office,Trying to sell ice to an Eskimo,0.7301
Moon Base,Having a shouting match with a parrot,0.7301
Space Station,Trying to return a half-eaten meal claiming it was poisoned,0.7301
Hunting Cabin,Spitting out terrible food into a napkin while the chef watches,0.7301
Run-Down Apartment,Knocking over a domino world record attempt,0.7301
Alley,Trying to assemble IKEA furniture without the instructions,0.7301
Tattoo Parlor,Camping Trip Where Everything Goes Wrong,0.7301
Laboratory,Rescuing a cat from a tree and getting stuck yourself,0.7301
Psychiatric Ward,Attempting to bring a sword through airport security,0.7301
Ancient Ruins,Inheriting a cursed amulet from a distant relative,0.7301
Ancient Ruins,Attempting to steal the Declaration of Independence,0.7301
Herbalist's Shop,Setting off fireworks indoors,0.7301
Battlefield,Insisting that birds aren't real at a bird-watching convention,0.7301
Executive's Office,Calling 911 because you lost the TV remote,0.7301
Hiking Trail,Getting your tongue stuck to a frozen pole,0.7301
Art Gallery,Falling Asleep During a Meeting,0.7301
Run-Down Apartment,Panicking and throwing your keys into a river,0.7301
Zoo,Stepping on someone's foot and blaming them,0.7301
Arcade,Corporate Team-Building Exercise Gone Rogue,0.7301
Living Room,Leaving Someone at the Altar,0.7301
Battlefield,Losing a fight to a goose,0.7301
Executive's Office,Trying to sneak out of a house party with a stolen bottle of wine,0.7301
Bunker,House Party That Got Out of Hand,0.7301
Boardwalk,Buying a supposedly haunted car that just plays bad 80s music,0.7301
Mall,Explaining why your mom is secretly listening in on the date,0.7301
Hotel Room,Spilling Drinks on the Boss,0.7301
Church,Trapped in a tent with a friend who won't stop talking,0.7301
Emergency Room,Getting Stood Up,0.7301
Emergency Room,"Getting caught regifting a very specific, handmade present",0.7301
Waterfall,Catching the Bouquet (and Regretting It),0.7301
Water Park,Faking an injury to get out of helping a friend move,0.7301
Pawn Shop,Getting Lost Without a Map,0.7301
Prom,Mispronouncing a very common word on live television,0.7301
Aquarium,Purchasing a haunted antique that won't stop screaming,0.7301
Camp,Agreeing to help a ghost move on,0.7301
Hospital Room,Trying to give yourself a haircut in the dark,0.7301
Water Park,Attempting to resurrect a dead houseplant with dark magic,0.7301
Tank,Causing a Public Scene,0.7301
Rock Concert,Amateur Ghost Hunting,0.7301
Yacht,Accidentally donating your roommate's favorite clothes,0.7301
Big City Street,Auditioning for a musical when you are tone-deaf,0.7301
Castle,Playing Matchmaker Gone Wrong,0.7301
Pool Hall,Flirting with the Boss,0.7301
Pool Hall,Arguing with a barista over the definition of a cappuccino,0.7301
Observatory,Kicking a soccer ball into someone's face,0.7301
Taxi,Playing Matchmaker Gone Wrong,0.7301
Laundromat,Getting Locked Out,0.7301
Pirate Ship,Trying to smuggle a koala onto a plane,0.7301
Ballroom,Spilling Drinks on the Boss,0.7301
Pool Hall,Busting a Cheater in the Act,0.7301
Cruise Ship,Faking a panic attack to get out of an escape room,0.7301
Subway Train,Walking into a glass door in front of your crush,0.7301
Principal's Office,Explaining why your mom is secretly listening in on the date,0.7301
Desert,Attempting to perform open-heart surgery using a YouTube tutorial,0.7301
Small Town Street,Knocking over a domino world record attempt,0.7301
Beach Party,Destroying a luxury hotel room by accident,0.7301
Ballroom,Trying to convince a police officer that the speed limit is a suggestion,0.7301
City,Interrupting a Wedding,0.7301
Mansion,Trying to pass off a forged painting,0.7301
Submarine,Breaking a priceless vase at a museum and trying to glue it back,0.7301
Barn,Accidentally breaking a priceless heirloom and blaming the dog,0.7301
Spaceship,First Time Meeting the Parents,0.7301
Pool Hall,Auditioning for a musical when you are tone-deaf,0.7301
International Space Station,Trying to hide a dead body in a shallow grave,0.7301
Island,Handling a Hostage Negotiation,0.7301
Palace,Investigating a Haunting,0.7301
Pool Hall,Suing a restaurant because the food was too spicy,0.7301
Hardware Store,Trying to expense a deeply inappropriate purchase,0.7301
Pub,Catching the Bouquet (and Regretting It),0.7301
Ocean Floor,Attempting to steal the Declaration of Independence,0.7301
Museum,Ruining a silent retreat by having hiccups,0.7301
Wedding Reception,Backing over your neighbor's prized rose bush,0.7301
Fishing Boat,Panicking and throwing your keys into a river,0.7301
Taxi,Disastrous First Date,0.7301
College Campus,Starting a Cult,0.7301
Race Track (Horses),Telling a crying child that life isn't fair,0.7301
Rooftop,Solving a Murder,0.7301
Cave,Accidentally wearing a Halloween costume to a black-tie wedding,0.7301
Vet Clinic,Trying to escape a maze,0.7301
Mechanic's Shop,Defending your terrible parallel parking job holding up traffic,0.7301
Coffeehouse,Getting trapped on a ski lift with a loud chewer,0.7301
Ocean,Pretending to be a psychic to scam tourists,0.7301
Casino,Organizing a Surprise Party (and Ruining It),0.7301
Ballroom,Arguing with a street performer,0.7301
Greenhouse,Escape Room Disaster,0.7301
Museum,Trying to convince a toddler you actually stole their nose,0.7301
College Campus,Impersonating a pilot to get free drinks,0.7301
Elementary School Classroom,Muddy Festival Camping,0.7301
Forest,Accidentally giving a five-star review to a terrible restaurant,0.7301
Dungeon,Stealing candy from a baby,0.7301
Jewelry Store,Staging an Intervention,0.7301
City Bus,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.7301
Indoor Shooting Range,Trying to hide a dead body in a shallow grave,0.7301
Art Gallery,Trying to escape a maze,0.7301
Rooftop,Getting caught doing a TikTok dance in the boardroom,0.7301
Market,Hiding under a bed to avoid a conversation,0.7301
Circus,Trying to domesticate a squirrel,0.73
Sewers,Tripping over nothing and acting like you meant to do it,0.73
Ancient Library,Cult Initiation Ceremony,0.73
Ice Cream Parlor,Navigating a foreign city with a broken map and no language skills,0.73
War Zone,Trapped in a tent with a friend who won't stop talking,0.73
Gymnasium,Accidentally wearing a Halloween costume to a black-tie wedding,0.73
Jungle,Stranded with No Signal,0.73
Grocery Store,Agreeing to be a getaway driver for a minor traffic offense,0.73
Aquarium,Getting caught trying to steal a souvenir from a sacred temple,0.73
Bank,Getting bitten by a radioactive spider and getting terrible powers,0.73
Pool Hall,Laundering money through a lemonade stand,0.73
Flower Shop,Trying to bargain at a corporate chain store,0.73
Emergency Room,Getting caught trying to smuggle a dinosaur egg,0.73
Laboratory,Agreeing to help a ghost move on,0.73
Sporting Event,Backing out of a promise to donate a kidney,0.73
Parking Lot,Cleaning Up After a Massive Party,0.73
Market,Trapped in a revolving door with a mime,0.73
Rock Concert,Having a public meltdown because they discontinued your favorite snack,0.73
Coral Reef,Hosting a dinner party during a zombie apocalypse,0.73
Camp,Getting caught taking selfies at a somber historical monument,0.73
Canal,Trying to pass off a fake painting to an art appraiser,0.73
Community Center,Interrupting a Wedding,0.73
Hot Springs,Being trapped in a sleeping bag during a bear attack,0.73
International Space Station,Hosting a dinner party during a zombie apocalypse,0.73
Junkyard,Making a Desperate Deal,0.73
Coffeehouse,Refusing to break character during a casual Friday,0.73
Military Helicopter,Accidentally muting the CEO during a company-wide call,0.73
Astronaut Training Facility,Accidentally destroying a child's sandcastle masterpiece,0.73
Carnival,Demanding to speak to the manager of the ocean,0.73
Bank Vault,Attempting to banish a poltergeist with a broom,0.73
Island,Auditioning for a musical when you are tone-deaf,0.73
Greenhouse,Lying about being able to speak French in Paris,0.73
Urban Rooftop,Corporate Team-Building Exercise Gone Rogue,0.73
