Location,Scenario,Similarity
Ghost Town,Running for mayor of a town you don't live in,0.6516
Rock Concert,Trying to start a fire by rubbing two sticks together,0.6516
Pirate Ship,Trying to escape a maze,0.6516
Airplane,Hiding a Fugitive,0.6515
Thrift Store,Scamming the Scammer,0.6515
Urban Rooftop,Getting Stood Up,0.6515
Hot Springs,Extreme Jet Lag,0.6515
Desert,Accidentally destroying a child's sandcastle masterpiece,0.6515
Therapist's Office,Amateur Ghost Hunting,0.6515
Observatory,Solving a Murder,0.6515
Psychiatric Ward,Awkward Blind Date,0.6515
Fitness Center,Getting Friend-Zoned,0.6515
Indoor Shooting Range,Starting a Cult,0.6515
Small Town,Not knowing how to use a manual can opener,0.6515
Woods,Lost in Translation,0.6515
College Campus,Investigating a Haunting,0.6515
Farmer's Market,Running into an Ex,0.6515
Public Restroom,Interrupting a Wedding,0.6515
Casual Dining Restaurant,Taking a bite out of a decorative wax apple,0.6515
Palace,Lost in Translation,0.6515
Fire Station,Staging an Intervention,0.6515
Greenhouse,Hacking a Secure System,0.6515
Aquarium,Lost in Translation,0.6515
Village,Getting Ghosted,0.6515
On the phone,Accidentally liking your boss's vacation photo from 2014,0.6515
River,Extreme Jet Lag,0.6515
Alien Planet,Getting Locked Out,0.6514
Industrial Factory,Trying to escape a maze,0.6514
Fishing Village,Performing an Exorcism,0.6514
Medieval Castle,Falling in Love at First Sight,0.6514
Bonfire,Arguing with a Bouncer,0.6514
Boardwalk,Dealing with a Karen,0.6514
Man Cave,Getting Locked Out,0.6514
Medieval Castle,High-Stakes Poker Game,0.6514
Bus Station,Staging an Intervention,0.6514
Dorm Room,Interrupting a Wedding,0.6514
Nursery,Starting a Cult,0.6514
Astronaut Training Facility,Witnessing a bank robbery and asking for an autograph,0.6514
Backyard,Starting a Cult,0.6514
Green Room,Staging an Intervention,0.6514
Waterfall,Losing Your Passport,0.6514
Cabin In The Woods,Disastrous First Date,0.6514
Golf Course,Messy Divorce,0.6514
Rooftop,Running from the Cops,0.6514
Salvage Yard,Trying to escape a maze,0.6514
Art Studio,Office Holiday Party,0.6514
Hotel Room,Asking for a Demotion,0.6514
Horse Racing Track,Getting Locked Out,0.6514
University Quad,Solving a Murder,0.6514
Motel,Murder Mystery Dinner,0.6514
Museum,Swimming in a public fountain,0.6514
Prison,Trapped in a revolving door with a mime,0.6514
Coral Reef,Discovering a Conspiracy,0.6514
Police Car,Escape Room Disaster,0.6514
Museum,Murder Mystery Dinner,0.6514
Prison,Sneaking into a celebrity's dressing room,0.6514
Elevator,Getting Friend-Zoned,0.6514
Rainforest,Taking a bite out of a decorative wax apple,0.6514
Tattoo Parlor,Planning a Bank Heist,0.6513
Basement,Trying to escape a maze,0.6513
Hospital Room,Getting Ghosted,0.6513
Emergency Room,Backing over your neighbor's prized rose bush,0.6513
Police Station,Extreme Jet Lag,0.6513
Cave,Getting Locked Out,0.6513
Island,Waking up in a different country with no memory of how you got there,0.6513
Train Station,Staging an Intervention,0.6513
Funeral Home,Running into an Ex,0.6513
Penthouse Suite,Messy Breakup,0.6513
Wedding Reception,Getting Ghosted,0.6513
Bank Vault,Murder Mystery Dinner,0.6513
Alien Planet,Awkward First Kiss,0.6513
Subway Tunnel,Murder Mystery Dinner,0.6513
Battlefield,Kicking a soccer ball into someone's face,0.6513
Trailer Park,Murder Mystery Dinner,0.6513
War Zone,First Day at a New Job,0.6513
Garage Sale,Flirting with the Boss,0.6513
Taxi,Trying to start a fire by rubbing two sticks together,0.6512
Dungeon,Getting trapped in a porta-potty,0.6512
Taxi,Hiding a Fugitive,0.6512
Ancient Library,Alien Abduction Attempt,0.6512
Alien Planet,First Day at a New Job,0.6512
Boarding School,Lads/Girls Holiday Vibe,0.6512
Quarry,Getting Ghosted,0.6512
Submarine,Bomb Defusal Under Pressure,0.6512
Hospital,Hacking a Secure System,0.6512
Swamp,Getting trapped in a porta-potty,0.6512
County Fair,Discovering a Conspiracy,0.6512
Car Wash,Starting a Bar Fight,0.6512
Bookstore,Discovering a Conspiracy,0.6512
University Quad,Emergency Evacuation,0.6512
Art Studio,Messy Divorce,0.6512
Medieval Castle,Asking for a Demotion,0.6512
Volcano,Trying to escape a maze,0.6512
Ice Cave,Getting Stood Up,0.6512
Abandoned Mine,Extreme Jet Lag,0.6512
Car Wash,Starting a Cult,0.6512
Online,Planning a Bank Heist,0.6512
Apartment Building,Amateur Ghost Hunting,0.6512
Cave,Trying to start a fire by rubbing two sticks together,0.6512
Carnival,Staging an Intervention,0.6511
Upscale Hotel Lobby,Speed Dating,0.6511
Prison,Interrupting a Wedding,0.6511
Ancient Ruins,Getting Locked Out,0.6511
Medieval Village,Extreme Jet Lag,0.6511
Indoor Shooting Range,Causing a Public Scene,0.6511
Therapist's Office,Asking for a Demotion,0.6511
Hardware Store,Staging an Intervention,0.6511
Ski Resort,Lads/Girls Holiday Vibe,0.6511
Desert,Trying to sell ice to an Eskimo,0.6511
Moon Base,Evading Arrest,0.6511
Hospital Room,Losing Your Passport,0.6511
House Party,Drunk Calling the Ex,0.6511
White House,Causing a Public Scene,0.6511
Bunker,Getting trapped in a porta-potty,0.6511
Art Gallery,Messy Breakup,0.6511
Spaceship,Getting caught putting a fake bug in your soup for a free meal,0.6511
Spaceship,Running from the Cops,0.6511
Water Park,Losing Your Passport,0.6511
Submarine,Performing an Exorcism,0.6511
Subway Train,Bumping into a Celebrity,0.6511
Lighthouse,Accidentally destroying a child's sandcastle masterpiece,0.6511
Nightclub,Negotiating a Ransom,0.6511
Prison Cell,Getting bitten by a radioactive spider and getting terrible powers,0.6511
Laboratory,Trying to sell ice to an Eskimo,0.6511
Lake,Solving a Murder,0.6511
Man Cave,Dealing with a Karen,0.6511
Ancient Library,Getting caught trying to steal a souvenir from a sacred temple,0.6511
Aquarium,Speed Dating,0.6511
Truck Stop,Stranded with No Signal,0.6511
Old Pick-Up Truck,Starting a Bar Fight,0.6511
Backyard,Lost in Translation,0.6511
Bowling Alley,Interrupting a Wedding,0.6511
Restaurant,Faking a proposal just to get a free dessert at a restaurant,0.6511
Ocean Floor,Getting Friend-Zoned,0.6511
Military Base,Causing a Public Scene,0.6511
Dragon's Lair,Staging an Intervention,0.6511
Ski Resort,Starting a Cult,0.651
Airport,Interrupting a Wedding,0.651
Golf Course,Hiding a Fugitive,0.651
Barn,Emergency Evacuation,0.651
Video Arcade,Epic Prank War,0.651
Campsite,Falling asleep at the wheel of a parked car and screaming when you wake up,0.651
Rainforest,Hacking a Secure System,0.651
Sewers,Hacking a Secure System,0.651
Waiting Room,Cult Initiation Ceremony,0.651
Bar,Performing an Exorcism,0.651
Rock Concert,Losing Your Passport,0.651
Igloo,Getting Locked Out,0.651
Residential Bathroom,Investigating a Haunting,0.651
Maze,Negotiating a Ransom,0.651
Abandoned Warehouse,First Day at a New Job,0.651
Haunted House,Getting trapped in a porta-potty,0.651
Subway Tunnel,Planning a Bank Heist,0.651
Art Studio,Spilling coffee on a priceless piece of art,0.651
Wedding Reception,Complaining about the food to the chef who happens to be your date,0.651
Golf Course,Dealing with a Karen,0.651
Space Station,Getting Friend-Zoned,0.651
Greenhouse,Alien Abduction Attempt,0.651
Flower Shop,Scamming the Scammer,0.651
Fire Station,Murder Mystery Dinner,0.651
Bridge,Cheating at a Board Game,0.651
Tropical Resort,Murder Mystery Dinner,0.651
Amusement Park,Taking a bite out of a decorative wax apple,0.651
Hunting Cabin,Lost in Translation,0.6509
Waterfall,Dealing with a Karen,0.6509
Small Town,Lads/Girls Holiday Vibe,0.6509
Alien Planet,Escape Room Disaster,0.6509
Library,Attempting to steal the Declaration of Independence,0.6509
Airplane,Accidentally destroying a child's sandcastle masterpiece,0.6509
Video Arcade,Lost in Translation,0.6509
Brewery,Getting caught putting a fake bug in your soup for a free meal,0.6509
Clock Tower,Office Holiday Party,0.6509
Tree House,Hacking a Secure System,0.6509
Teacher's Lounge,Losing Your Passport,0.6509
Chicken Coop,Matchmaking Disaster,0.6509
Bowling Alley,Amateur Ghost Hunting,0.6509
Golf Course,Firing a Friend,0.6509
Fast Food Restaurant,Amateur Ghost Hunting,0.6509
Hair Salon,Scamming the Scammer,0.6509
Rooftop,Causing a Public Scene,0.6509
Trailer Park,Muddy Festival Camping,0.6509
Run-Down Apartment,Discovering a Conspiracy,0.6509
Run-Down Apartment,Flirting with the Boss,0.6509
Cave,Performing an Exorcism,0.6509
House Fire,Lost in Translation,0.6509
Run-Down Apartment,Breaking a priceless vase at a museum and trying to glue it back,0.6509
Trailer Park,Drunk Calling the Ex,0.6509
Ice Cream Parlor,Discovering a Conspiracy,0.6509
Science Lab,Escape Room Disaster,0.6509
Abandoned Warehouse,Firing a Friend,0.6509
Battlefield,Hiding a Fugitive,0.6509
Garden,Evading Arrest,0.6509
College Campus,Getting Ghosted,0.6509
Pool Hall,Getting Friend-Zoned,0.6509
Fast Food Restaurant,Trying to sell ice to an Eskimo,0.6509
Garage Sale,Running from the Cops,0.6509
Casino,Getting caught putting a fake bug in your soup for a free meal,0.6508
Recording Studio,Trying to escape a maze,0.6508
Fast Food Restaurant,Faking expertise in a high-level technical meeting,0.6508
Horse Racing Track,Causing a Public Scene,0.6508
Space Station,Negotiating a Ransom,0.6508
Clock Tower,Purchasing a haunted antique that won't stop screaming,0.6508
On the phone,Getting caught taking selfies at a somber historical monument,0.6508
Subway Tunnel,Attempting to steal the Declaration of Independence,0.6508
Quarry,Dealing with a Karen,0.6508
Campsite,Getting trapped in a porta-potty,0.6508
Garden,Getting Locked Out,0.6508
Aquarium,Running Out of Gas,0.6508
Egyptian Pyramids,Investigating a Haunting,0.6508
Chicken Coop,Interrupting a Wedding,0.6508
Skate Park,First Day at a New Job,0.6508
Rock Concert,Double Date Drama,0.6508
Thrift Store,Accidentally donating your roommate's favorite clothes,0.6508
House Party,Alien Abduction Attempt,0.6508
Pond,Lost in Translation,0.6508
Old Pick-Up Truck,Dealing with a Karen,0.6508
Run-Down Apartment,Defending a prenuptial agreement written on a napkin,0.6508
University Lecture Hall,Office Holiday Party,0.6508
Small Town Street,Speed Dating,0.6508
Abandoned Warehouse,Finding a treasure map on the back of a fast-food receipt,0.6508
Snowy Mountain Peak,Bumping into a Celebrity,0.6508
Antiques Shop,Getting Stood Up,0.6508
Underwater City,Getting Ghosted,0.6508
On the phone,Spilling a Dark Secret,0.6507
Public Restroom,Witnessing a bank robbery and asking for an autograph,0.6507
Penthouse Suite,Arguing Over the Bill,0.6507
Rock Concert,Messy Breakup,0.6507
Military Helicopter,Arguing with a Bouncer,0.6507
Ocean Floor,Demanding to speak to the manager of the ocean,0.6507
Rainforest,Faking expertise in a high-level technical meeting,0.6507
Beach,Taking a bite out of a decorative wax apple,0.6507
Cheap Motel,Getting Locked Out,0.6507
Clock Tower,Backing over your neighbor's prized rose bush,0.6507
Birthday Party,Lost in Translation,0.6507
Attic,Discovering a secret room behind a bookcase,0.6507
Antiques Shop,Trying to escape a maze,0.6507
Small Town,Stealing the Spotlight,0.6507
Castle,Hiding a Fugitive,0.6507
Morgue,Trying to escape a maze,0.6507
Old Pick-Up Truck,Discovering a Conspiracy,0.6507
Cruise Ship,Investigating a Haunting,0.6507
Train Station,Escape Room Disaster,0.6507
Truck Stop,Scamming the Scammer,0.6507
Virtual Reality World,Finding a treasure map on the back of a fast-food receipt,0.6507
Car Accident Site,Speed Dating,0.6507
Taxi,Waking up in a different country with no memory of how you got there,0.6507
Airplane,Solving a Murder,0.6507
Executive's Office,Speed Dating,0.6507
Countryside,Lost in Translation,0.6507
Country Road,Lads/Girls Holiday Vibe,0.6507
Empty Lot,Trying to sell ice to an Eskimo,0.6507
Police Station,3am Drunk Food Run,0.6507
Principal's Office,Losing Your Passport,0.6507
Egyptian Pyramids,Epic Prank War,0.6506
Military Helicopter,Getting Stood Up,0.6506
Fast Food Restaurant,Witnessing a bank robbery and asking for an autograph,0.6506
Fishing Boat,Negotiating a Ransom,0.6506
Ice Cream Parlor,Flirting with the Boss,0.6506
Military Helicopter,Starting a Bar Fight,0.6506
Bomb Shelter,Being trapped in a sleeping bag during a bear attack,0.6506
Pharmacy,Hacking a Secure System,0.6506
Parking Lot,Finding a treasure map on the back of a fast-food receipt,0.6506
Medieval Castle,First Day at a New Job,0.6506
Bookstore,Bumping into a Celebrity,0.6506
Secret Passageway,Firing a Friend,0.6506
Skate Park,Getting Stood Up,0.6506
Ice Cave,Getting Ghosted,0.6506
Medieval Castle,Starting a Bar Fight,0.6506
Boarding School,Arguing Over the Bill,0.6506
University Lecture Hall,Defending a flat-earth theory at a NASA conference,0.6506
College Campus,Messy Breakup,0.6506
Parade,Cult Initiation Ceremony,0.6506
Recording Studio,Getting Locked Out,0.6506
Grocery Store,Messy Breakup,0.6506
Halloween Party,Staging an Intervention,0.6506
Farmer's Market,Getting Ghosted,0.6506
Bridge,Defending a prenuptial agreement written on a napkin,0.6505
Backyard,Office Holiday Party,0.6505
Empty Lot,Getting Friend-Zoned,0.6505
Bookstore,First Day at a New Job,0.6505
Secret Laboratory,Attempting to build a nuclear reactor in your basement,0.6505
Zoo,Trying to claim a wild animal is your emotional support pet,0.6505
Egyptian Pyramids,Causing a Public Scene,0.6505
Fishing Village,Murder Mystery Dinner,0.6505
Jewelry Store,Evading Arrest,0.6505
Gas Station,Running into an Ex,0.6505
Hardware Store,Extreme Jet Lag,0.6505
Crystal Cave,Alien Abduction Attempt,0.6505
Grocery Store,Planning a Bank Heist,0.6505
Office Cubicle,Hiding a Fugitive,0.6505
Casino,Getting caught trying to steal a souvenir from a sacred temple,0.6505
Snowy Mountain Peak,Taking a bite out of a decorative wax apple,0.6505
Antiques Shop,Dealing with a Karen,0.6505
Subway Train,Getting Locked Out,0.6505
Fire Station,Extreme Jet Lag,0.6505
Ice Cream Parlor,Interrupting a Wedding,0.6505
Public Restroom,Arguing Over the Bill,0.6505
Pool Hall,Scamming the Scammer,0.6505
International Space Station,Getting Locked Out,0.6505
Principal's Office,Investigating a Haunting,0.6505
Science Lab,Trying to escape a maze,0.6505
Underground Storm Shelter,Trying to hide a dead body in a shallow grave,0.6505
Motel,Getting Ghosted,0.6504
Ambulance,Attempting to perform open-heart surgery using a YouTube tutorial,0.6504
Fitness Center,Running into an Ex,0.6504
Bomb Shelter,Negotiating a Ransom,0.6504
Haunted House,Drunk Calling the Ex,0.6504
Shopping Mall,Disastrous First Date,0.6504
Prison,Attempting to perform a citizen's arrest on a pigeon,0.6504
Art Gallery,Solving a Murder,0.6504
Village,Getting Locked Out,0.6504
War Zone,Arguing Over the Bill,0.6504
City,Trying to sell ice to an Eskimo,0.6504
Military Base,Discovering a Conspiracy,0.6504
Residential Bathroom,First Day at a New Job,0.6504
Man Cave,First Day at a New Job,0.6504
Prison Cell,Matchmaking Disaster,0.6504
Coastal Cliffs,Bumping into a Celebrity,0.6504
Golf Course,Getting Locked Out,0.6504
Bridge,Performing an Exorcism,0.6504
Ballroom,Interrupting a Wedding,0.6504
Battlefield,Firing a Friend,0.6504
Pirate Ship,Evading Arrest,0.6504
Run-Down Apartment,Spilling red wine on a white carpet,0.6504
Office Cubicle,Flirting with the Boss,0.6504
County Fair,Backing over your neighbor's prized rose bush,0.6504
Dragon's Lair,Running into an Ex,0.6503
Castle,Dropping the bride's ring down a sewer grate,0.6503
Military Base,Arguing with a Bouncer,0.6503
Small Town,Planning a Prison Escape,0.6503
Attic,Alien Abduction Attempt,0.6503
Bar,Hiding a Fugitive,0.6503
Ocean Floor,Office Holiday Party,0.6503
Grocery Store,Flirting with the Boss,0.6503
Abandoned Mine,Getting Lost Without a Map,0.6503
Dystopian World,Getting Ghosted,0.6503
Antiques Shop,Hiding a Fugitive,0.6503
On the phone,Messy Breakup,0.6503
Race Track (Horses),Amateur Ghost Hunting,0.6503
Cheap Motel,Arguing with a Bouncer,0.6503
Rooftop,Swimming in a public fountain,0.6503
Laboratory,Running from the Cops,0.6503
Living Room,Firing a Friend,0.6503
Halloween Party,Drunk Calling the Ex,0.6503
Airport,First Day at a New Job,0.6503
Empty Lot,Finding a treasure map on the back of a fast-food receipt,0.6503
Mechanic's Shop,Not knowing how to use a manual can opener,0.6503
Battlefield,Extreme Jet Lag,0.6503
Diner,Lost in Translation,0.6503
College Campus,Dealing with a Karen,0.6503
Photography Studio,Murder Mystery Dinner,0.6503
Underwater,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6502
Construction Site,Cult Initiation Ceremony,0.6502
Park,Getting Stood Up,0.6502
Empty Lot,Cult Initiation Ceremony,0.6502
Pet Store,Performing an Exorcism,0.6502
Water Park,Murder Mystery Dinner,0.6502
Sporting Event,Sneaking into a celebrity's dressing room,0.6502
Amusement Park,Interrupting a Wedding,0.6502
Clock Tower,Amateur Ghost Hunting,0.6502
Yacht,Office Holiday Party,0.6502
Ocean Floor,Alien Abduction Attempt,0.6502
Caravan,Trying to sell ice to an Eskimo,0.6502
Construction Site,Matchmaking Disaster,0.6502
Elevator,High-Stakes Poker Game,0.6502
Construction Site,Trying to sell ice to an Eskimo,0.6502
University Lecture Hall,Staging an Intervention,0.6502
Small Town Street,Lost in Translation,0.6502
Junkyard,Scamming the Scammer,0.6502
Mechanic's Shop,Hacking a Secure System,0.6502
Quarry,First Day at a New Job,0.6502
Gymnasium,Causing a Public Scene,0.6502
Subway Tunnel,Losing Your Passport,0.6502
Residential Bathroom,Office Holiday Party,0.6502
Bank Vault,Losing Your Passport,0.6502
Bomb Shelter,Planning a Bank Heist,0.6502
Bazaar,Trying to escape a maze,0.6502
Bank,Running from the Cops,0.6502
Photography Studio,Bumping into a Celebrity,0.6502
Sporting Event,Pitching a Terrible Idea,0.6501
Empty Lot,Escape Room Disaster,0.6501
Empty Lot,Dealing with a Karen,0.6501
Movie Theater,Losing Your Passport,0.6501
Amusement Park,Ruining a child's birthday party with an inappropriate magic trick,0.6501
Train Station,Stranded with No Signal,0.6501
Public Restroom,Getting caught putting a fake bug in your soup for a free meal,0.6501
Beach Party,Ruining the Bride's Dress,0.6501
Liquor Store,Alien Abduction Attempt,0.6501
Tank,Planning a Bank Heist,0.6501
Virtual Reality World,Investigating a Haunting,0.6501
Circus,Sneaking into a celebrity's dressing room,0.6501
Snowy Mountain Peak,Discovering a Conspiracy,0.6501
Pub,Performing an Exorcism,0.6501
Antiques Shop,Emergency Evacuation,0.6501
Kitchen,Getting Locked Out,0.6501
Submarine,Speed Dating,0.6501
Ancient Ruins,Running from the Cops,0.6501
Laboratory,Trying to start a fire by rubbing two sticks together,0.6501
Tree House,Alien Abduction Attempt,0.6501
Principal's Office,Arguing with a Bouncer,0.6501
Snowy Mountain Peak,Hiding a Fugitive,0.6501
Old Pick-Up Truck,Stranded with No Signal,0.6501
Salvage Yard,Planning a Bank Heist,0.6501
Thrift Store,Starting a Cult,0.65
Circus,Accidentally destroying a child's sandcastle masterpiece,0.65
Ghost Town,Messy Breakup,0.65
Pool Hall,Dealing with a Karen,0.65
Coastal Cliffs,Discovering a Conspiracy,0.65
Prom,Getting Stood Up,0.65
Greenhouse,Getting Locked Out,0.65
Greenhouse,Taking a bite out of a decorative wax apple,0.65
Man Cave,High-Stakes Poker Game,0.65
Waterfall,Spilling a Dark Secret,0.65
Farmer's Market,Alien Abduction Attempt,0.65
Public Restroom,Negotiating a Ransom,0.65
Small Town Street,Getting Stood Up,0.65
Funeral Home,Disastrous First Date,0.65
Amusement Park,Trying to sell ice to an Eskimo,0.65
Alley,Taking a bite out of a decorative wax apple,0.65
Woods,Getting Stood Up,0.65
Space Station,Bumping into a Celebrity,0.65
Elevator,Destroying a child's belief in Santa Claus,0.65
Used Car Dealership,Performing an Exorcism,0.65
Waiting Room,Scamming the Scammer,0.6499
Dungeon,Getting Locked Out,0.6499
Police Station,Escape Room Disaster,0.6499
Boarding School,Asking for a Demotion,0.6499
Taxi,Explaining to border control why your suitcase is full of rocks,0.6499
Apartment Building,Negotiating a Ransom,0.6499
Graveyard,Alien Abduction Attempt,0.6499
Green Room,Alien Abduction Attempt,0.6499
White House,First Day at a New Job,0.6499
Airport,Getting Ghosted,0.6499
Bonfire,Negotiating a Ransom,0.6499
Elevator,Office Holiday Party,0.6499
Underwater,Getting caught putting a fake bug in your soup for a free meal,0.6499
Maze,Trapped in a revolving door with a mime,0.6499
Shopping Mall,Witnessing a bank robbery and asking for an autograph,0.6499
Underwater City,Evading Arrest,0.6499
Secret Passageway,Trapped in a revolving door with a mime,0.6499
Fire Station,Negotiating a Ransom,0.6499
International Space Station,Trying to assemble IKEA furniture without the instructions,0.6499
Coral Reef,Starting a Bar Fight,0.6499
Hospital Room,Interrupting a Wedding,0.6499
Farm,Speed Dating,0.6499
Battlefield,Solving a Murder,0.6499
Truck Stop,Messy Breakup,0.6499
Trailer Park,Firing a Friend,0.6499
Movie Theater,3am Drunk Food Run,0.6499
Convenience Store,Scamming the Scammer,0.6499
Quarry,Lost in Translation,0.6499
Antiques Shop,Alien Abduction Attempt,0.6499
Birthday Party,Running into an Ex,0.6499
Fishing Boat,Hiding a Fugitive,0.6499
Outdoor Pool,Speed Dating,0.6499
Waiting Room,Escaping a boring date through the bathroom window,0.6499
Nightclub,Spitting out terrible food into a napkin while the chef watches,0.6499
Race Track (Horses),Investigating a Haunting,0.6499
Parking Lot,Planning a Bank Heist,0.6498
Snowy Mountain Peak,Lost in Translation,0.6498
Grocery Store,Performing an Exorcism,0.6498
Taxi Cab,Planning a Bank Heist,0.6498
Mall,Trying to sell ice to an Eskimo,0.6498
Subway Train,Alien Abduction Attempt,0.6498
Campsite,Causing a Public Scene,0.6498
Ski Resort,Lost in Translation,0.6498
Teacher's Lounge,Trying to start a fire by rubbing two sticks together,0.6498
Casino,Witnessing a bank robbery and asking for an autograph,0.6498
Hotel Room,Hacking a Secure System,0.6498
Recording Studio,Getting Friend-Zoned,0.6498
Birthday Party,Cheating at a Board Game,0.6498
Courthouse,Getting caught putting a fake bug in your soup for a free meal,0.6498
Medieval Village,Office Holiday Party,0.6498
Dungeon,Discovering a secret room behind a bookcase,0.6498
County Fair,Investigating a Haunting,0.6498
Psychiatric Ward,Getting Caught Talking to Yourself,0.6498
Construction Site,Epic Prank War,0.6498
Fitness Center,Murder Mystery Dinner,0.6498
Gas Station,Hiding a Fugitive,0.6498
Maze,Discovering a Conspiracy,0.6498
Ice Cream Parlor,Extreme Jet Lag,0.6498
On the phone,Accidentally muting the CEO during a company-wide call,0.6498
Elevator,Getting caught putting a fake bug in your soup for a free meal,0.6498
Beach House,Messy Breakup,0.6498
Antiques Shop,Lost in Translation,0.6498
Carnival,Getting caught trying to steal a souvenir from a sacred temple,0.6498
Military Helicopter,Asking for a Demotion,0.6498
Emergency Room,Impersonating a doctor to get better hospital food,0.6498
Mountain,Trying to escape a maze,0.6498
Orchard,Trying to escape a maze,0.6498
Grocery Store,Trying to escape a maze,0.6497
Motel,Evading Arrest,0.6497
Teacher's Lounge,Discovering a Conspiracy,0.6497
Basement,Discovering a secret room behind a bookcase,0.6497
Nature Hike,Discovering a Conspiracy,0.6497
Convenience Store,Starting a Cult,0.6497
Swamp,Getting Ghosted,0.6497
Arcade,Arguing with a Bouncer,0.6497
Woods,Backing over your neighbor's prized rose bush,0.6497
Flower Shop,3am Drunk Food Run,0.6497
Cabin In The Woods,First Day at a New Job,0.6497
Movie Set,Messy Divorce,0.6497
Green Room,Negotiating a Ransom,0.6497
Green Room,Losing Your Passport,0.6497
Military Base,Asking for a Demotion,0.6497
Graveyard,Negotiating a Ransom,0.6497
Chicken Coop,Negotiating a Ransom,0.6497
Lighthouse,Getting Ghosted,0.6497
Movie Set,Messy Breakup,0.6497
Chicken Coop,Office Holiday Party,0.6497
Elevator,Cult Initiation Ceremony,0.6497
Bowling Alley,Cult Initiation Ceremony,0.6497
Liquor Store,Getting Locked Out,0.6497
Waiting Room,Awkward Blind Date,0.6497
Bakery,3am Drunk Food Run,0.6497
On the phone,Getting bitten by a radioactive spider and getting terrible powers,0.6497
City Bus,Performing an Exorcism,0.6497
Igloo,Running Out of Gas,0.6497
Pond,Getting Ghosted,0.6497
Boarding School,Awkward Blind Date,0.6497
Jewelry Store,Flirting with the Boss,0.6497
Race Track (Horses),Bumping into a Celebrity,0.6497
Parade,Starting a Bar Fight,0.6497
Bus Station,Trying to escape a maze,0.6496
Casual Dining Restaurant,Attempting to pay for dinner with a handwritten poem,0.6496
On the phone,Attempting to communicate with aliens via interpretive dance,0.6496
Brewery,Trying to escape a maze,0.6496
Pool Hall,Staging an Intervention,0.6496
Subway Train,Murder Mystery Dinner,0.6496
Haunted House,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6496
Fishing Village,Starting a Cult,0.6496
Hospital,Staging an Intervention,0.6496
Taxi,Performing an Exorcism,0.6496
Casual Dining Restaurant,Getting Friend-Zoned,0.6496
Pet Store,First Day at a New Job,0.6496
Hospital Room,Arguing with a Bouncer,0.6496
Pool Hall,3am Drunk Food Run,0.6496
Online,High-Stakes Poker Game,0.6496
Woods,Solving a Murder,0.6496
Parking Lot,Awkward First Kiss,0.6496
Hunting Cabin,Alien Abduction Attempt,0.6496
War Zone,Getting Lost Without a Map,0.6495
Space Station,Arguing with a Bouncer,0.6495
Hospital Room,Sneaking into a celebrity's dressing room,0.6495
Rock Concert,Flirting with the Boss,0.6495
University Lecture Hall,Running Out of Gas,0.6495
Haunted House,Awkward Blind Date,0.6495
War Zone,Office Holiday Party,0.6495
Pawn Shop,Witnessing a bank robbery and asking for an autograph,0.6495
Nature Hike,Cult Initiation Ceremony,0.6495
Courthouse,Starting a Cult,0.6495
Emergency Room,Spilling red wine on a white carpet,0.6495
Office Cubicle,Starting a Cult,0.6495
Nursery,Backing over your neighbor's prized rose bush,0.6495
Trailer Park,Trying to escape a maze,0.6495
Office Cubicle,Getting Locked Out,0.6495
Carnival Funhouse,Getting Locked Out,0.6495
Amusement Park,Falling in Love at First Sight,0.6495
Fast Food Restaurant,Eating the last slice of pizza after someone else already claimed it,0.6495
Prom,Emergency Evacuation,0.6495
Subway Train,Escape Room Disaster,0.6495
Video Arcade,Hacking a Secure System,0.6495
Dojo,Emergency Evacuation,0.6495
Recording Studio,Getting Ghosted,0.6495
Movie Set,Trying to escape a maze,0.6495
Jungle,Running from the Cops,0.6495
Prison Cell,Trying to sell ice to an Eskimo,0.6495
Carnival Funhouse,Sneaking into a celebrity's dressing room,0.6495
Subway Train,Hiding a Fugitive,0.6495
Castle,Causing a Public Scene,0.6495
River,Evading Arrest,0.6495
Casual Dining Restaurant,Faking a proposal just to get a free dessert at a restaurant,0.6495
Arcade,Escape Room Disaster,0.6494
College Campus,Negotiating a Ransom,0.6494
Hunting Cabin,Getting Friend-Zoned,0.6494
Graveyard,Hiding a Fugitive,0.6494
Old Pick-Up Truck,Extreme Jet Lag,0.6494
Garage Sale,Alien Abduction Attempt,0.6494
Kitchen,Emergency Evacuation,0.6494
Circus,Running from the Cops,0.6494
Car Wash,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6494
Horse Racing Track,Discovering a Conspiracy,0.6494
Thrift Store,Getting Stood Up,0.6494
Haunted House,Discovering a Conspiracy,0.6494
Pub,Spitting out terrible food into a napkin while the chef watches,0.6494
Bar,Running into an Ex,0.6494
Beach Party,Scamming the Scammer,0.6494
Prison Cell,Getting caught trying to steal a souvenir from a sacred temple,0.6494
Lake,Dealing with a Karen,0.6494
Principal's Office,Discovering a Conspiracy,0.6494
Jewelry Store,Getting Stood Up,0.6494
Community Center,Dealing with a Karen,0.6494
Used Car Dealership,Office Holiday Party,0.6494
Parking Lot,Epic Prank War,0.6494
Abandoned Mine,Lost in Translation,0.6494
Subway Tunnel,3am Drunk Food Run,0.6494
Waterfall,Evading Arrest,0.6494
Man Cave,Alien Abduction Attempt,0.6493
Break Room,3am Drunk Food Run,0.6493
